a tshama enhoveni	a man of the field
kasi Yakobo yena a a ri munhu wo rhula	while Jacob was a quiet man
loyi a a titshamela ekaya	dwelling in tents
Isaka a a tsakela ngopfu Esawu hikuva a a dya swa vuhloti bya yena	Isaac loved Esau because he ate of his game
kasi Rhaveka yena a a tsakela Yakobo	but Rebekah loved Jacob
Siku rin'wana loko Yakobo a ri karhi a sweka xixevo	Once when Jacob was cooking stew
ko ta ku ta fika Esawu a ri ni ndlala swinene	Esau came in from the field
a huma hi le nhoveni	and he was exhausted
Yakobo a ku	Jacob said
Sungula u ndzi xavisela vuhosi bya wena	Sell me your birthright now
Hiloko Esawu a ku	Esau said
Leswi ndzi lavaka ku fa	I am about to die
vuhosi byi ta ndzi pfuna yini xana	of what use is a birthright to me
Ehandle ka ndlala leyi weke enkarhini wa Abrahama	Now there was a famine in the land
ku tlherile ku wa yin'wana etikweni	besides the former famine that was in the days of Abraham
Kutani Isaka a ya eka Abimeleke hosi ya Vafilista emutini wa Gerara	And Isaac went to Gerar to Abimelech king of the Philistines
Hiloko HOSI Xikwembu xi humelela eka yena xi ku	And the LORD appeared to him and said
U nga tshuki u ya etikweni ra Egipta	Do not go down to Egypt
kambe tshama kwala tikweni leri ndzi ku kombaka rona	dwell in the land of which I shall tell you
hikuva Abrahama a a ndzi yingisa ni ku endla leswi ndzi n'wi byelaka swona	because Abraham obeyed my voice and kept my charge
a hlayisa milawu ya mina	my commandments
ni swileriso swa mina	my statutes
ni swiletelo swa mina	and my laws
Kutani Isaka a tshama eGerara	So Isaac settled in Gerar
Abimeleke a ku	Abimelech said
Xana i mhaka muni leyi a wu lava ku hi vangela yona xana	What is this you have done to us
Loko a ku lo va na munhu loyi a nga etlela ni nsati loyi wa wena	One of the people might easily have lain with your wife
a wu ta va u hi vangele nandzu	and you would have brought guilt upon us
Kutani Abimeleke a humesa xileriso lexi nge	So Abimelech warned all the people
Munhu loyi a nga ta tshuka a khumbile wanuna loyi kumbe nsati wa yena	saying
ú ta dlayiwa	Whoever touches this man or his wife shall surely be put to death
a sungula ku humelela	and the man became rich
a va ni rifuwo lero tala swinene	and gained more and more until he became very wealthy
Kutani Abimeleke a ku ka Isaka	And Abimelech said to Isaac
Suka exikarhi ka hina	Go away from us
hikuva u sungula ku va ni matimba ku tlula hina	for you are much mightier than we
Isaka ú sukile kona a ya eBerexeba	From there he went up to Beersheba
Vona va hlamula va ku	They said
Ha swi vona leswaku hakunene HOSI Xikwembu xi na wena	We see plainly that the LORD has been with you
kutani hi kombela leswaku wena na hina	So we said
hi tiboha hi ku hlambanya	let there be a sworn pact between us
hi va ni xinakulobye	between you and us
Kutani Isaka a va endlela nkhuvo	So he made them a feast
va dya va tlhela va nwa	and they ate and drank
Kutani va pfuka nimpundzu swinene va tiboha hi ku hlambanya	In the morning they rose early and exchanged oaths
kutani Isaka a lelana na vona	And Isaac sent them on their way
va suka emutini wa yena hi ku rhula	and they departed from him in peace
Kutani vavasati lava va dyisa Isaka na Rhaveka embitsi	and they made life bitter for Isaac and Rebekah
Kutani a ku	He said
Vona	Behold
sweswi ndzi dyuharile	I am old
kambe siku leri ndzi nga ta fa ha rona a ndzi ri tivi	I do not know the day of my death
Kutani sweswi teka matlhari ya wena	Now then
ni vurha bya wena	take your weapons
ni nseve wa wena	your quiver and your bow
u ya enhoveni u ya ndzi hlotela xiharhi	and go out to the field and hunt game for me
Rhaveka a a ri karhi a swi twa loko Isaka a vulavula na n'wana wa yena Esawu	Now Rebekah was listening when Isaac spoke to his son Esau
Kuteloko Esawu a ha yile enhoveni ku ya hlota	So when Esau went to the field to hunt for game and bring it
Rhaveka a ku ka Yakobo n'wana wa yena	Rebekah said to her son Jacob
Ndzi twile tata wa wena a ri karhi a vulavula na makwenu Esawu a ku	I heard your father speak to your brother Esau
Kutani sweswi	Now therefore
ndzi yingise we n'wananga	my son
u endla hilaha ndzi ku lerisaka hakona	obey my voice as I command you
Kutani wena u ta ya u ya nyika tata wa wena a dya	And you shall bring it to your father to eat
leswaku a ta ku katekisa a nga si fa	so that he may bless you before he dies
Kambe Yakobo a ku ka Rhaveka mana wakwe	But Jacob said to Rebekah his mother
Vona	Behold
makwerhu Esawu i munhu wa ringhala	my brother Esau is a hairy man
kasi mina ndzi hava	and I am a smooth man
A teka ni madzovo ya swimbutana a tsondzela Yakobo emavokweni ni le nhan'wini ya yena yo pfumala ringhala	And the skins of the young goats she put on his hands and on the smooth part of his neck
Kutani Yakobo a ya nghena endlwini laha tata wa yena a a ri kona	So he went in to his father and said
a fika a ku	My father
Tatana	And he said
yena a hlamula a ku	Here I am
Hi mina loyi	Who are you
xana hi wena mani n'wananga	my son
Isaka a nga kotanga ku tiva Yakobo	And he did not recognize him
hikuva mavoko ya yena a ma ri ni voya ku fana ni mavoko ya makwavo Esawu	because his hands were hairy like his brother Esau's hands
Kutani Isaka a katekisa Yakobo	So he blessed him
Isaka a vutisa a ku	He said
Hakunene hi wena Esawu n'wananga xana	Are you really my son Esau
Yakobo a hlamula a ku	He answered
Hi mina	I am
Kutani tata wa yena Isaka a ku	Then his father Isaac said to him
Tshinela u ndzi ntswontswa	Come near and kiss me
n'wananga	my son
Kutani Isaka a heta ku katekisa Yakobo	As soon as Isaac had finished blessing Jacob
Loko Yakobo a ha ku suka eka tata wa yena	when Jacob had scarcely gone out from the presence of Isaac his father
Esawu makwavo a vuya hi le ku hloteni	Esau his brother came in from his hunting
Kutani Isaka a tshuka swinene	Then Isaac trembled very violently and said
a ku	Who was it then that hunted game and brought it to me
Xana i mani loyi a nga ya eku hloteni	and I ate it all before you came
a ndzi tisela swa vuhloti bya yena ndzi dya	and I have blessed him
wena u nga si vuya	Yes
ndzi tlhela ndzi n'wi katekisa xana	and he shall be blessed
Kambe yena a ku	But he said
Makwenu ú tile hi vukanganyisi	Your brother came deceitfully
kutani ú tekile minkateko ya wena	and he has taken away your blessing
Kutani Esawu a sungula ku venga Yakobo hikwalaho ka leswi tata wa yena a n'wi katekiseke	Now Esau hated Jacob because of the blessing with which his father had blessed him
Esawu a vulavula a ri yexe a ku	and Esau said to himself
Masiku ya ku rila tatana a ma ha ri kule	The days of mourning for my father are approaching
kutani ndzi ta dlaya lowa makwerhu Yakobo	then I will kill my brother Jacob
Kutani sweswi	Now therefore
yingisa leswi ndzi ku byelaka swona	my son
we n'wananga	obey my voice
Suka u baleka u ya eka makwerhu Labani eHarani	Arise
U ta tshama kwale ka lowa makwerhu	and stay with him a while
ku kondza ku hlundzuka ka Esawu makwenu ku hela	until your brother's fury turns away
Kutani Rhaveka a ku ka Isaka	Then Rebekah said to Isaac
Mina ndzi dyisiwa mbitsi hi vavasati lava va Vahiti	I loathe my life because of the Hittite women
Loko na yena Yakobo o teka nsati wa Muhiti kwala tikweni leri	If Jacob marries one of the Hittite women like these
wo fana ni vavasati lava	one of the women of the land
xana ndza ha ta va ndzi hanyela yini xana	what good will my life be to me
Kutani Isaka a vitana Yakobo a n'wi katekisa	Then Isaac called Jacob and blessed him and directed him
a tlhela a n'wi laya a ku ka yena	You must not take a wife from the Canaanite women
Yana emutini wa Betuwele tata wa mana wa wena ePadani-Aramu	Arise
u ya teka un'wana wa vana va Labani makwavo wa mana wa wena	go to Paddan-aram to the house of Bethuel your mother's father
a va nsati wa wena	and take as your wife from there one of the daughters of Laban your mother's brother
Xikwembu-xa-matimba-hinkwawo a xi ku katekise	God Almighty bless you and make you fruitful and multiply you
xi ku nyika vatukulu lavo tala swinene leswaku u va tata wa vanhu va ntsandza-vahlayi	that you may become a company of peoples
Nakambe loko Yakobo a yingisa tata wa yena ni mana wa yena a suka a ya ePadani-Aramu	and that Jacob had obeyed his father and his mother and gone to Paddan-aram
Kutani Yakobo a suka eBerexeba a kongoma eHarani	Jacob left Beersheba and went toward Haran
Kutani Yakobo a hlambanya a ku	Then Jacob made a vow
Loko wena Xikwembu wo va na mina	saying
u ndzi hlayisa eriendzweni leri ndzi nga ka rona	If God will be with me and will keep me in this way that I go
u ndzi nyika swakudya ni swiambalo	and will give me bread to eat and clothing to wear
Ribye leri ra xitsundzuxo leri ndzi ri yimiseke	and this stone
ri ta va yona yindlu ya wena Xikwembu	which I have set up for a pillar
Eka hinkwaswo leswi u nga ta ndzi nyika swona	shall be God's house
ndzi ta ku humesela vukhume bya swona	And of all that you give me I will give a full tenth to you
Kutani Yakobo a ya emahlweni ni riendzo ra yena ku kondza a ya fika etikweni ra vanhu va le vuxeni	Then Jacob went on his journey and came to the land of the people of the east
Yakobo a ku ka vona	Jacob said to them
Vamakwerhu	My brothers
xana mi huma kwihi xana	where do you come from
Vona va ku	They said
Hi huma eHarani	We are from Haran
Yakobo a ku ka vona	He said to them
Xana wa ha pfukile xana	Is it well with him
Vona va ku	They said
Wa ha pfukile	It is well
vona	and see
Rahele n'wana wa yena hi luya a taka ni tinyimpfu!	Rachel his daughter is coming with the sheep!
Yakobo a ku	He said
Vonani	Behold
dyambu ra ha ri kona	it is still high day
a hi wona nkarhi wo hlengeleta swifuwo	it is not time for the livestock to be gathered together
nwisani tinyimpfu emati	Water the sheep and go
kutani mi ti yisa emadyelweni	pasture them
Loko Yakobo a ha vulavula na vona	While he was still speaking with them
Rahele o ta a ta fika ni tinyimpfu ta tata wakwe	Rachel came with her father's sheep
hikuva hi yena a a ti risa	for she was a shepherdess
Labani a a ri ni vana vambirhi va vanhwanyana	Now Laban had two daughters
lonkulu a a ri Leya	The name of the older was Leah
kasi lontsongo a a ri Rahele	and the name of the younger was Rachel
Leya a a ri ni mahlo lama tsaneke	Leah's eyes were weak
kasi Rahele yena a a sasekile swinene a tlhela a va ni xivumbeko lexinene	but Rachel was beautiful in form and appearance
Yakobo a a rhandza Rahele	Jacob loved Rachel
kutani a ku ka Labani	And he said
Ndzi ta ku tirhela malembe ya 7 leswaku u ndzi nyika Rahele n'wana wa wena lontsongo	I will serve you seven years for your younger daughter Rachel
Kutani Yakobo a ku ka Labani	Then Jacob said to Laban
Nkarhi lowu hi twananeke wona wu herile	Give me my wife that I may go in to her
ndzi kombela leswaku u ndzi hlomisela nsati wa mina	for my time is completed
(Labani a teka ni nandza wa yena Zilipa a n'wi nyiketa eka Leya n'wana wa yena leswaku a ta va nandza wa yena	(Laban gave his female servant Zilpah to his daughter Leah to be her servant
)	)
Labani a hlamula a ku	Laban said
Laha tikweni ra ka hina a hi endlisi swona	It is not so done in our country
Lontsongo a nga ka a nga rhangeli hosi ya yena a hloma	to give the younger before the firstborn
Yakobo a nkhensa	Jacob did so
a yima ku kondza ku hela vhiki ra nkhuvo wa Leya	and completed her week
Kutani Labani a n'wi nyika n'wana wa yena Rahele leswaku a va nsati wa yena	Then Laban gave him his daughter Rachel to be his wife
(Labani a teka ni nandza wa yena Biliha a n'wi nyiketa eka Rahele n'wana wa yena leswaku a va nandza wa yena	(Laban gave his female servant Bilhah to his daughter Rachel to be her servant
)	)
Kutani Yakobo a tivana na Rahele	So Jacob went in to Rachel also
a n'wi rhandza ku tlula Leya	and he loved Rachel more than Leah
kutani a tlhela a tirhela Labani malembe ya 7	and served Laban for another seven years
Loko HOSI Xikwembu xi vona leswaku Leya wa vengiwa	When the LORD saw that Leah was hated
xi endla leswaku a kuma vana	he opened her womb
Rahele yena a a nga va kumi	but Rachel was barren
Hiloko Rahele a teka Biliha nandza wa yena a n'wi nyika Yakobo leswaku a va nsati wa yena	So she gave him her servant Bilhah as a wife
Kutani Yakobo a tivana na yena	and Jacob went in to her
Biliha nandza wa Rahele a engeta a tika nakambe	Rachel's servant Bilhah conceived again and bore Jacob a second son
Kuteloko Leya a vona leswaku a nga ha kumi vana	When Leah saw that she had ceased bearing children
a teka nandza wa yena Zilipa a n'wi nyika Yakobo leswaku a va nsati wa yena	she took her servant Zilpah and gave her to Jacob as a wife
Madyambu wolawo loko Yakobo a vuya hi le masin'wini	When Jacob came from the field in the evening
Leya a n'wi hlanganisa a ku ka yena	Leah went out to meet him and said
U fanele ku ta u ta etlela na mina	You must come in to me
hikuva ndzi ku xavile hi marhanga ya rirhandzu ya n'wananga	for I have hired you with my son's mandrakes
Kutani Yakobo a tivana na Leya vusiku byebyo	So he lay with her that night
Kutani Leya a engeta a tika	And Leah conceived again
a velekela Yakobo n'wana wa mufana wa vu-6	and she bore Jacob a sixth son
Kambe Labani a ku ka Yakobo	But Laban said to him
Yingisa ndzi ku byela	If I have found favor in your sight
Ndzi hlahluvile ndzi kuma leswaku HOSI yi ndzi katekisile hikwalaho ka wena	I have learned by divination that the LORD has blessed me because of you
Ndzi byele leswaku u lava ndzi ku hakela hi yini	Name your wages
ndzi ta ku nyika	and I will give it
Yakobo a ku ka Labani	Jacob said to him
Hi wena u tivaka hilaha ndzi ku tirheleke hakona	You yourself know how I have served you
ni hilaha ndzi ku hlayiseleke swifuwo swa wena hakona	and how your livestock has fared with me
Labani a ku	He said
Xana ndzi nga ku nyika yini xana	What shall I give you
Yakobo a hlamula a ku	Jacob said
U nga ndzi nyiki nchumu! Mina ndzi nga ya emahlweni ndzi ku hlayisela ntlhambi wa wena	You shall not give me anything
ndzi wu risa	If you will do this for me
kambe hi fanele ku twanana emhakeni leyi	I will again pasture your flock and keep it
Namuntlha ndzi pfumelele ku nghena exikarhi ka ntlhambi wa wena hinkwawo	let me pass through all your flock today
ndzi susetela tinyimpfu hinkwato leti nga ni mavalavala kumbe ta ntima	removing from it every speckled and spotted sheep and every black lamb
ndzi susa ni timbuti hinkwato ta mavalavala	and the spotted and speckled among the goats
Leyi hi yona hakelo ya mina	and they shall be my wages
Siku u nga ta ta u ta vona leswi u ndzi hakeleke hi swona	So my honesty will answer for me later
ku tshembeka ka mina ku ta tikomba	when you come to look into my wages with you
Loko u kuma ndzi ri ni mbuti leyi yi nga riki na mavalavala	Every one that is not speckled and spotted among the goats and black among the lambs
kumbe nyimpfu leyi nga riki ya ntima exikarhi ka ntlhambi	if found with me
u swi hlaya swi ri leswi ndzi nga ta va ndzi lo swi yiva	shall be counted stolen
Labani a ku	Laban said
Hiswona! A swi ve hilaha u vuleke hakona	Good! Let it be as you have said
